Customer,Date Shipped,Product ID,Brand,Channel
9844272,2/3/18,1313,White Whale,Direct
9824481,2/7/18,1313,White Whale,Direct
9823914,2/8/18,1313,White Whale,Direct
9833742,2/9/18,1313,White Whale,Direct
9833751,2/9/18,239,Black Dog,Direct
9835371,2/9/18,239,Black Dog,Direct
9841599,2/9/18,1313,White Whale,Direct
9841734,2/9/18,1313,White Whale,Direct
9823635,2/13/18,1313,White Whale,Direct
9830781,2/14/18,1313,White Whale,Direct
9830790,2/14/18,239,Black Dog,Direct
9846279,2/14/18,581,White Whale,Direct
9828315,2/15/18,239,Black Dog,Direct
9828324,2/15/18,239,Black Dog,Direct
9829152,2/15/18,548,White Whale,Direct
9837207,2/15/18,548,White Whale,Direct
9846936,2/15/18,239,Black Dog,Direct
9830142,2/16/18,1313,White Whale,Direct
9843381,2/16/18,1313,White Whale,Direct
9847260,2/16/18,1313,White Whale,Direct
9839889,2/17/18,581,White Whale,Direct
9842598,2/17/18,239,Black Dog,Direct
9822699,2/21/18,581,White Whale,Direct
9822717,2/21/18,581,White Whale,Direct
9823860,2/21/18,17,White Whale,Direct
9825705,2/21/18,581,White Whale,Direct
9836118,2/21/18,581,White Whale,Direct
9837108,2/21/18,239,Black Dog,Direct
9837117,2/21/18,239,Black Dog,Direct
9837126,2/21/18,581,White Whale,Direct
9836424,2/22/18,581,White Whale,Direct
9839754,2/23/18,581,White Whale,Direct
9842472,2/23/18,239,Black Dog,Direct
9842490,2/23/18,581,White Whale,Direct
9842670,2/23/18,239,Black Dog,Direct
9843525,2/23/18,581,White Whale,Direct
9845370,2/23/18,581,White Whale,Direct
9847044,2/23/18,581,White Whale,Direct
9825633,2/24/18,470,Black Dog,Direct
9837918,2/24/18,581,White Whale,Direct
9837927,2/24/18,581,White Whale,Direct
9831888,2/27/18,581,White Whale,Direct
9841590,2/27/18,581,White Whale,Direct
9845100,2/27/18,581,White Whale,Direct
9845442,2/27/18,581,White Whale,Direct
9845532,2/27/18,239,Black Dog,Direct
9835533,2/28/18,239,Black Dog,Direct
9846000,3/1/18,239,Black Dog,Direct
9846117,3/1/18,581,White Whale,Direct
9847197,3/1/18,239,Black Dog,Direct
9847332,3/1/18,239,Black Dog,Direct
9833787,3/2/18,377,White Whale,Direct
9838287,3/2/18,377,White Whale,Direct
9823914,3/3/18,377,White Whale,Direct
9841599,3/3/18,377,White Whale,Direct
9841734,3/3/18,377,White Whale,Direct
9811044,3/9/18,446,Black Dog,Direct
9824481,3/10/18,377,White Whale,Direct
9830781,3/10/18,377,White Whale,Direct
9830790,3/10/18,1073,Black Dog,Direct
9841599,3/12/18,377,White Whale,Direct
9846279,3/13/18,17,White Whale,Direct
9829152,3/14/18,377,White Whale,Direct
9830142,3/14/18,377,White Whale,Direct
9837207,3/14/18,377,White Whale,Direct
9843381,3/14/18,377,White Whale,Direct
9846936,3/14/18,1073,Black Dog,Direct
9847260,3/14/18,377,White Whale,Direct
9828315,3/16/18,1073,Black Dog,Direct
9828324,3/16/18,1073,Black Dog,Direct
9842472,3/17/18,1073,Black Dog,Direct
9842490,3/17/18,548,White Whale,Direct
9842670,3/17/18,1073,Black Dog,Direct
9845370,3/17/18,548,White Whale,Direct
9847044,3/17/18,548,White Whale,Direct
9839889,3/20/18,548,White Whale,Direct
9825705,3/21/18,548,White Whale,Direct
9836118,3/21/18,548,White Whale,Direct
9823860,3/23/18,377,White Whale,Direct
9837108,3/23/18,1073,Black Dog,Direct
9837117,3/23/18,1073,Black Dog,Direct
9837126,3/23/18,548,White Whale,Direct
9825633,3/27/18,1073,Black Dog,Direct
9841590,3/27/18,548,White Whale,Direct
9845100,3/27/18,548,White Whale,Direct
9845442,3/27/18,548,White Whale,Direct
9831888,3/28/18,548,White Whale,Direct
9847197,3/28/18,1073,Black Dog,Direct
9847332,3/28/18,1073,Black Dog,Direct
9835533,3/29/18,1073,Black Dog,Direct
9846117,3/30/18,548,White Whale,Direct
9824481,4/4/18,17,White Whale,Direct
9833787,4/4/18,17,White Whale,Direct
9838287,4/4/18,17,White Whale,Direct
9844272,4/4/18,17,White Whale,Direct
9845370,4/6/18,17,White Whale,Direct
9823914,4/10/18,17,White Whale,Direct
9841599,4/10/18,17,White Whale,Direct
9841734,4/10/18,17,White Whale,Direct
9823635,4/11/18,548,White Whale,Direct
9830781,4/12/18,581,White Whale,Direct
9830790,4/12/18,458,Black Dog,Direct
9829152,4/13/18,581,White Whale,Direct
9843381,4/13/18,581,White Whale,Direct
9837207,4/14/18,581,White Whale,Direct
9823860,4/19/18,968,White Whale,Direct
9836118,4/19/18,17,White Whale,Direct
9837108,4/19/18,446,Black Dog,Direct
9837117,4/19/18,446,Black Dog,Direct
9837126,4/19/18,17,White Whale,Direct
9839889,4/19/18,968,White Whale,Direct
9822699,4/20/18,548,White Whale,Direct
9842490,4/21/18,17,White Whale,Direct
9847044,4/21/18,17,White Whale,Direct
9842472,4/25/18,446,Black Dog,Direct
9831888,4/26/18,17,White Whale,Direct
9835533,4/26/18,284,Black Dog,Direct
9841590,4/26/18,17,White Whale,Direct
9845442,4/26/18,17,White Whale,Direct
9845100,4/27/18,17,White Whale,Direct
9825633,4/28/18,446,Black Dog,Direct
9847197,4/28/18,446,Black Dog,Direct
8713776,1/11/18,1244,Orange Cat,Direct
9811116,1/11/18,1244,Orange Cat,Direct
9816642,1/11/18,548,White Whale,Direct
9816741,1/11/18,1244,Orange Cat,Direct
9821754,1/11/18,1244,Orange Cat,Direct
9821817,1/11/18,1244,Orange Cat,Direct
9825408,1/11/18,1244,Orange Cat,Direct
9829116,1/11/18,1244,Orange Cat,Direct
9830169,1/11/18,1244,Orange Cat,Direct
9836298,1/11/18,1244,Orange Cat,Direct
9847827,1/11/18,548,White Whale,Direct
